PartNumber,PartName,Description,DamageCategory,risk_level,replacement_interval,boeing_targets,bombardier_targets,mro_targets,geo_targets
021-355-0,"TIRE 11.00-12 10PLY 160 mph, 10 Ply",,landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
M20101-01,TIRE MAIN,,landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
M01103-02,TIRE – MAIN,"Part Number: M01103-02Description: 46x17.0R20 30PR 225mph Radial TL Michelin Air…",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
114079019,"VALVE, LANDING GEAR SELECTOR","Part Number: 114079019Description: ELECTRO-HIDRAULIC SELECTORS",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
89794077,CYLINDER & VALVE ASSY,"Part Number: 89794077Description: PORTABLE OXYGEN CYLINDER AND VALVE ASSEMBLY",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
887477,HYDRAULIC PUMP,"Part Number: 887477Description: AC MOTOR PUMP-HYDRAULIC",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
560A0000-02,COMMAND SENSOR,"Part Number: 560A0000-02Description: SNSRUNIT SENSOR UNIT-COMMAND",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
D24001000,VALVE CONTROL PARKING PRESSURE LIMITER,"Part Number: D24001000Description: VALVE CONTROL PARKING PRESSURE LIMITER",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
14320-030,DRAIN VALVE ASSEMBLY,"Part Number: 14320-030Description: WASTE DRAIN VALVE",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
30-1951-1,ANTI-COLLISION LIGHT,"Part Number: 30-1951-1Description: AIRCRAFT NAVIGATION ANTI-COLLISION STROBE LIGHT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
